Name,Year,Population,Vehicles,Vehicles (M),Vehicles (F),Transit Solo Auto,Transit Carpool,Transit Public Transp.,Transit Walked,Transit Other,Transit Total,New Transit Total,Solo Auto %,Carpool %,Public Transp. %,Walked %,Other %
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2009,1520649,639955,342755,297200,605050,76428,7415,9617,9280,739294,707790.0,85.5,10.8,1.0,1.4,1.3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2010,1541541,639550,339775,299770,604037,77509,7665,9471,9048,740734,707730.0,85.3,11.0,1.1,1.3,1.3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2011,1569470,644255,340080,304180,608511,78218,8678,9290,8776,748011,713473.0,85.3,11.0,1.2,1.3,1.2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2012,1595454,654430,344915,309515,618647,78511,8643,9436,8565,758698,723802.0,85.5,10.8,1.2,1.3,1.2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2013,1702603,695500,364250,331250,659340,79521,8872,10121,8787,802808,766641.0,86.0,10.4,1.2,1.3,1.1
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2014,1730515,710755,373345,337410,674334,80243,9431,10927,8941,821559,783876.0,86.0,10.2,1.2,1.4,1.1
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2015,1761848,737175,387620,349555,700382,81381,10184,11616,9210,852139,812773.0,86.2,10.0,1.3,1.4,1.1
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2016,1794570,758825,399430,359390,721603,82198,9785,11979,10319,879471,835884.0,86.3,9.8,1.2,1.4,1.2
