Year,Annual
1990,187.7
1991,179.6
1992,181.9
1993,185.3
1994,192.1
1995,200.2
1996,203.3
1997,207.1
1998,209.9
1999,210.8
2000,207.9
2001,197.8
2002,186.8
2003,179.9
2004,178.3
2005,178.8
2006,178.8
2007,176.2
2008,168.3
2009,146.6
2010,143
2011,146.3
2012,148.5
2013,149.8
2014,152.6
2015,157.7
2016,163
2017,167.3
