Year,Annual
1990,343
1991,323.2
1992,310.1
1993,313.4
1994,318.4
1995,325.2
1996,331
1997,342.7
1998,353.9
1999,352.5
2000,353.7
2001,338.4
2002,311.4
2003,296.2
2004,294
2005,294.4
2006,300.4
2007,298.3
2008,289.6
2009,263.6
2010,254.3
2011,258.2
2012,261.8
2013,261.7
2014,262.3
2015,264.5
2016,265.1
2017,271
2018,
