Year,Annual
1990,95.1
1991,95
1992,98.3
1993,103.2
1994,109.9
1995,110.6
1996,106.2
1997,105.1
1998,105.4
1999,106
2000,104.6
2001,99.3
2002,93.6
2003,91
2004,92.3
2005,92.3
2006,91.6
2007,85.2
2008,79.6
2009,67.3
2010,63.1
2011,65.4
2012,70.3
2013,74.8
2014,77.7
2015,79
2016,82.2
2017,84.3
2018,
