index,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Year
4919,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-01,77,Moderate,SO2,13-121-0048,7,1990
4920,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-02,36,Good,NO2,13-121-0048,7,1990
4921,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-03,42,Good,NO2,13-121-0048,7,1990
4922,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-04,59,Moderate,SO2,13-121-0053,6,1990
4923,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-05,34,Good,NO2,13-121-0048,9,1990
4924,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-06,28,Good,NO2,13-089-0002,7,1990
4925,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-07,26,Good,CO,13-121-0052,7,1990
4926,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-08,55,Moderate,NO2,13-089-0002,7,1990
4927,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-09,34,Good,SO2,13-121-0053,7,1990
4928,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-10,65,Moderate,SO2,13-121-0053,7,1990
4929,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-11,72,Moderate,PM10,13-089-2001,9,1990
4930,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-12,60,Moderate,SO2,13-121-0053,7,1990
4931,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-13,87,Moderate,SO2,13-015-0002,7,1990
4932,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-14,65,Moderate,SO2,13-015-0002,7,1990
4933,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-15,68,Moderate,NO2,13-121-0048,7,1990
4934,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-16,80,Moderate,NO2,13-121-0048,7,1990
4935,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-17,42,Good,NO2,13-121-0048,8,1990
4936,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-18,57,Moderate,SO2,13-121-0053,6,1990
4937,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-19,33,Good,NO2,13-121-0052,7,1990
4938,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-20,23,Good,NO2,13-121-0048,7,1990
4939,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-21,77,Moderate,SO2,13-121-0048,7,1990
4940,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-22,109,Unhealthy for Sensitive Groups,SO2,13-121-0048,5,1990
4941,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-23,67,Moderate,NO2,13-121-0048,8,1990
4942,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-24,49,Good,NO2,13-121-0048,7,1990
4943,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-25,39,Good,SO2,13-015-0002,7,1990
4944,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-26,113,Unhealthy for Sensitive Groups,SO2,13-121-0048,5,1990
4945,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-27,69,Moderate,NO2,13-121-0048,5,1990
4946,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-28,52,Moderate,NO2,13-121-0048,6,1990
4947,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-29,38,Good,NO2,13-121-0048,9,1990
4948,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-30,57,Moderate,NO2,13-121-0048,7,1990
4949,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-01-31,72,Moderate,SO2,13-121-0048,7,1990
4950,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-01,48,Good,NO2,13-121-0048,6,1990
4951,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-02,40,Good,NO2,13-121-0048,7,1990
4952,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-03,43,Good,CO,13-089-1002,7,1990
4953,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-04,94,Moderate,SO2,13-121-0048,9,1990
4954,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-05,56,Moderate,SO2,13-015-0002,7,1990
4955,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-06,42,Good,NO2,13-121-0048,6,1990
4956,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-07,42,Good,CO,13-121-0052,6,1990
4957,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-08,51,Moderate,CO,13-089-1002,6,1990
4958,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-09,35,Good,CO,13-121-0052,6,1990
4959,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-10,50,Good,SO2,13-121-0048,5,1990
4960,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-11,121,Unhealthy for Sensitive Groups,SO2,13-121-0048,6,1990
4961,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-12,105,Unhealthy for Sensitive Groups,SO2,13-121-0048,6,1990
4962,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-13,64,Moderate,NO2,13-121-0048,6,1990
4963,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-14,57,Moderate,NO2,13-121-0048,7,1990
4964,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-15,39,Good,NO2,13-121-0048,6,1990
4965,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-16,41,Good,NO2,13-121-0048,8,1990
4966,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-17,104,Unhealthy for Sensitive Groups,SO2,13-015-0002,6,1990
4967,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-18,37,Good,NO2,13-121-0048,6,1990
4968,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-19,61,Moderate,SO2,13-015-0002,6,1990
4969,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-20,38,Good,NO2,13-121-0048,6,1990
4970,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-21,21,Good,SO2,13-121-0048,7,1990
4971,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-22,20,Good,NO2,13-121-0054,8,1990
4972,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-23,49,Good,SO2,13-121-0048,7,1990
4973,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-24,109,Unhealthy for Sensitive Groups,SO2,13-121-0048,7,1990
4974,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-25,114,Unhealthy for Sensitive Groups,SO2,13-015-0002,6,1990
4975,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-26,29,Good,SO2,13-121-0048,7,1990
4976,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-27,36,Good,CO,13-089-1002,7,1990
4977,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-02-28,64,Moderate,PM10,13-089-2001,9,1990
4978,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-01,49,Good,NO2,13-121-0048,10,1990
4979,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-02,31,Good,Ozone,13-247-0001,10,1990
4980,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-03,55,Moderate,SO2,13-015-0002,9,1990
4981,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-04,116,Unhealthy for Sensitive Groups,SO2,13-015-0002,9,1990
4982,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-05,67,Moderate,Ozone,13-085-0001,9,1990
4983,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-06,77,Moderate,Ozone,13-085-0001,9,1990
4984,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-07,51,Moderate,NO2,13-121-0048,9,1990
4985,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-08,34,Good,Ozone,13-247-0001,10,1990
4986,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-09,41,Good,SO2,13-121-0048,11,1990
4987,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-10,85,Moderate,SO2,13-121-0048,7,1990
4988,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-11,80,Moderate,Ozone,13-085-0001,8,1990
4989,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-12,53,Moderate,PM10,13-121-0039,11,1990
4990,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-13,87,Moderate,Ozone,13-085-0001,10,1990
4991,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-14,49,Good,Ozone,13-223-0002,10,1990
4992,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-15,41,Good,Ozone,13-247-0001,11,1990
4993,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-16,37,Good,NO2,13-121-0048,11,1990
4994,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-17,51,Moderate,SO2,13-121-0048,11,1990
4995,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-18,54,Moderate,NO2,13-121-0048,13,1990
4996,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-19,77,Moderate,SO2,13-121-0048,11,1990
4997,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-20,97,Moderate,SO2,13-015-0002,9,1990
4998,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-21,128,Unhealthy for Sensitive Groups,SO2,13-015-0002,11,1990
4999,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-22,97,Moderate,Ozone,13-247-0001,11,1990
5000,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-23,119,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5001,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-24,100,Moderate,Ozone,13-085-0001,13,1990
5002,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-25,193,Unhealthy,SO2,13-121-0053,11,1990
5003,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-26,81,Moderate,SO2,13-121-0048,11,1990
5004,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-27,74,Moderate,NO2,13-089-0002,11,1990
5005,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-28,80,Moderate,Ozone,13-085-0001,11,1990
5006,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-29,44,Good,Ozone,13-085-0001,11,1990
5007,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-30,33,Good,Ozone,13-085-0001,13,1990
5008,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-31,61,Moderate,SO2,13-121-0053,11,1990
5009,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-01,53,Moderate,CO,13-089-1002,11,1990
5010,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-02,47,Good,Ozone,13-223-0002,11,1990
5011,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-03,39,Good,NO2,13-121-0048,10,1990
5012,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-04,72,Moderate,SO2,13-121-0048,10,1990
5013,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-05,112,Unhealthy for Sensitive Groups,Ozone,13-247-0001,12,1990
5014,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-06,64,Moderate,Ozone,13-247-0001,11,1990
5015,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-07,77,Moderate,SO2,13-015-0002,11,1990
5016,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-08,58,Moderate,Ozone,13-085-0001,10,1990
5017,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-09,97,Moderate,Ozone,13-085-0001,11,1990
5018,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-10,40,Good,Ozone,13-247-0001,11,1990
5019,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-11,56,Moderate,SO2,13-121-0048,13,1990
5020,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-12,51,Moderate,SO2,13-121-0048,11,1990
5021,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-13,74,Moderate,Ozone,13-085-0001,11,1990
5022,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-14,87,Moderate,Ozone,13-085-0001,11,1990
5023,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-15,110,Unhealthy for Sensitive Groups,SO2,13-121-0048,11,1990
5024,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-16,117,Unhealthy for Sensitive Groups,SO2,13-121-0048,11,1990
5025,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-17,87,Moderate,Ozone,13-247-0001,13,1990
5026,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-18,54,Moderate,Ozone,13-085-0001,10,1990
5027,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-19,58,Moderate,Ozone,13-085-0001,10,1990
5028,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-20,48,Good,Ozone,13-223-0002,11,1990
5029,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-21,60,Moderate,SO2,13-121-0053,11,1990
5030,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-22,116,Unhealthy for Sensitive Groups,SO2,13-015-0002,11,1990
5031,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-23,90,Moderate,Ozone,13-223-0002,13,1990
5032,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-24,105,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11,1990
5033,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-25,136,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11,1990
5034,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-26,140,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11,1990
5035,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-27,93,Moderate,Ozone,13-247-0001,11,1990
5036,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-28,45,Good,NO2,13-121-0048,11,1990
5037,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-29,61,Moderate,Ozone,13-085-0001,13,1990
5038,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-30,51,Moderate,NO2,13-121-0048,11,1990
5039,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-01,97,Moderate,Ozone,13-247-0001,11,1990
5040,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-02,116,Unhealthy for Sensitive Groups,SO2,13-121-0048,11,1990
5041,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-03,140,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11,1990
5042,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-04,47,Good,Ozone,13-247-0001,11,1990
5043,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-05,61,Moderate,SO2,13-121-0048,13,1990
5044,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-06,112,Unhealthy for Sensitive Groups,SO2,13-121-0048,11,1990
5045,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-07,115,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11,1990
5046,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-08,122,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11,1990
5047,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-09,41,Good,NO2,13-121-0048,11,1990
5048,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-10,74,Moderate,SO2,13-121-0048,11,1990
5049,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-11,91,Moderate,SO2,13-121-0053,13,1990
5050,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-12,105,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5051,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-13,49,Good,SO2,13-121-0053,11,1990
5052,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-14,185,Unhealthy,SO2,13-121-0048,11,1990
5053,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-15,174,Unhealthy,Ozone,13-085-0001,11,1990
5054,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-16,90,Moderate,Ozone,13-085-0001,11,1990
5055,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-17,62,Moderate,NO2,13-121-0048,12,1990
5056,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-18,77,Moderate,SO2,13-121-0053,10,1990
5057,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-19,119,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5058,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-20,49,Good,SO2,13-121-0053,10,1990
5059,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-21,47,Good,Ozone,13-247-0001,10,1990
5060,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-22,80,Moderate,SO2,13-121-0053,11,1990
5061,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-23,51,Moderate,SO2,13-121-0048,13,1990
5062,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-24,154,Unhealthy,Ozone,13-097-0002,10,1990
5063,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-25,143,Unhealthy for Sensitive Groups,Ozone,13-089-0002,11,1990
5064,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-26,100,Moderate,Ozone,13-089-0002,11,1990
5065,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-27,43,Good,Ozone,13-247-0001,11,1990
5066,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-28,57,Moderate,SO2,13-121-0053,11,1990
5067,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-29,126,Unhealthy for Sensitive Groups,Ozone,13-247-0001,13,1990
5068,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-30,161,Unhealthy,Ozone,13-247-0001,10,1990
5069,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-31,122,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11,1990
5070,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-01,47,Good,Ozone,13-247-0001,11,1990
5071,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-02,44,Good,Ozone,13-223-0002,11,1990
5072,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-03,49,Good,SO2,13-121-0053,11,1990
5073,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-04,117,Unhealthy for Sensitive Groups,SO2,13-121-0048,13,1990
5074,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-05,204,Very Unhealthy,Ozone,13-089-0002,11,1990
5075,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-06,161,Unhealthy,Ozone,13-089-0002,11,1990
5076,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-07,143,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5077,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-08,140,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5078,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-09,136,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11,1990
5079,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-10,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,13,1990
5080,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-11,202,Very Unhealthy,Ozone,13-247-0001,11,1990
5081,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-12,172,Unhealthy,Ozone,13-223-0002,11,1990
5082,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-13,169,Unhealthy,Ozone,13-223-0002,11,1990
5083,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-14,182,Unhealthy,Ozone,13-247-0001,11,1990
5084,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-15,74,Moderate,Ozone,13-247-0001,11,1990
5085,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-16,126,Unhealthy for Sensitive Groups,Ozone,13-097-0002,13,1990
5086,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-17,154,Unhealthy,Ozone,13-223-0002,11,1990
5087,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-18,217,Very Unhealthy,Ozone,13-247-0001,11,1990
5088,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-19,172,Unhealthy,Ozone,13-247-0001,11,1990
5089,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-20,219,Very Unhealthy,Ozone,13-089-0002,8,1990
5090,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-21,209,Very Unhealthy,Ozone,13-247-0001,8,1990
5091,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-22,90,Moderate,Ozone,13-247-0001,10,1990
5092,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-23,99,Moderate,SO2,13-121-0048,8,1990
5093,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-24,101,Unhealthy for Sensitive Groups,Ozone,13-247-0001,8,1990
5094,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-25,136,Unhealthy for Sensitive Groups,Ozone,13-097-0002,8,1990
5095,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-26,166,Unhealthy,Ozone,13-097-0002,7,1990
5096,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-27,147,Unhealthy for Sensitive Groups,Ozone,13-223-0002,7,1990
5097,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-28,200,Unhealthy,Ozone,13-223-0002,8,1990
5098,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-29,204,Very Unhealthy,Ozone,13-247-0001,7,1990
5099,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-30,161,Unhealthy,Ozone,13-247-0001,7,1990
5100,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-01,169,Unhealthy,Ozone,13-247-0001,7,1990
5101,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-02,164,Unhealthy,Ozone,13-247-0001,7,1990
5102,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-03,185,Unhealthy,Ozone,13-223-0002,7,1990
5103,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-04,154,Unhealthy,Ozone,13-223-0002,8,1990
5104,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-05,129,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7,1990
5105,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-06,185,Unhealthy,Ozone,13-247-0001,7,1990
5106,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-07,200,Unhealthy,Ozone,13-097-0002,7,1990
5107,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-08,208,Very Unhealthy,Ozone,13-223-0002,7,1990
5108,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-09,215,Very Unhealthy,Ozone,13-089-0002,7,1990
5109,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-10,182,Unhealthy,Ozone,13-247-0001,9,1990
5110,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-11,156,Unhealthy,Ozone,13-247-0001,7,1990
5111,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-12,119,Unhealthy for Sensitive Groups,SO2,13-121-0048,8,1990
5112,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-13,37,Good,Ozone,13-085-0001,8,1990
5113,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-14,62,Moderate,SO2,13-121-0053,8,1990
5114,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-15,97,Moderate,Ozone,13-247-0001,8,1990
5115,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-16,161,Unhealthy,Ozone,13-223-0002,10,1990
5116,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-17,136,Unhealthy for Sensitive Groups,Ozone,13-223-0002,8,1990
5117,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-18,71,Moderate,Ozone,13-223-0002,8,1990
5118,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-19,23,Good,Ozone,13-085-0001,8,1990
5119,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-20,39,Good,SO2,13-121-0053,8,1990
5120,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-21,55,Moderate,SO2,13-121-0048,8,1990
5121,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-22,49,Good,Ozone,13-247-0001,10,1990
5122,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-23,104,Unhealthy for Sensitive Groups,SO2,13-121-0053,8,1990
5123,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-24,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7,1990
5124,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-25,93,Moderate,Ozone,13-223-0002,7,1990
5125,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-26,154,Unhealthy,Ozone,13-223-0002,7,1990
5126,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-27,159,Unhealthy,Ozone,13-223-0002,7,1990
5127,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-28,51,Moderate,Ozone,13-223-0002,10,1990
5128,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-29,105,Unhealthy for Sensitive Groups,Ozone,13-097-0002,7,1990
5129,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-30,156,Unhealthy,Ozone,13-247-0001,7,1990
5130,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-31,177,Unhealthy,Ozone,13-247-0001,7,1990
5131,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-01,107,Unhealthy for Sensitive Groups,SO2,13-121-0053,7,1990
5132,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-02,77,Moderate,Ozone,13-247-0001,7,1990
5133,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-03,179,Unhealthy,Ozone,13-089-0002,10,1990
5134,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-04,204,Very Unhealthy,Ozone,13-085-0001,7,1990
5135,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-05,93,Moderate,Ozone,13-085-0001,7,1990
5136,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-06,114,Unhealthy for Sensitive Groups,SO2,13-121-0053,7,1990
5137,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-07,119,Unhealthy for Sensitive Groups,Ozone,13-089-0002,7,1990
5138,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-08,61,Moderate,Ozone,13-223-0002,7,1990
5139,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-09,133,Unhealthy for Sensitive Groups,Ozone,13-223-0002,10,1990
5140,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-10,126,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7,1990
5141,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-11,179,Unhealthy,Ozone,13-247-0001,7,1990
5142,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-12,100,Moderate,Ozone,13-085-0001,7,1990
5143,"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-13,119,Unhealthy for Sensitive Groups,Ozone,13-085-0001,7,1990
