index,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Year
7059,"Austin-Round Rock, TX",12420,1991-08-08,38,Good,Ozone,48-453-0014,3,1991
7060,"Austin-Round Rock, TX",12420,1991-08-09,47,Good,Ozone,48-453-0014,3,1991
7061,"Austin-Round Rock, TX",12420,1991-08-10,44,Good,Ozone,48-453-0014,3,1991
7062,"Austin-Round Rock, TX",12420,1991-08-11,29,Good,Ozone,48-453-0014,2,1991
7063,"Austin-Round Rock, TX",12420,1991-08-12,19,Good,NO2,48-453-0017,1,1991
7064,"Austin-Round Rock, TX",12420,1991-08-13,32,Good,Ozone,48-453-0014,2,1991
7065,"Austin-Round Rock, TX",12420,1991-08-14,24,Good,Ozone,48-453-0014,2,1991
7066,"Austin-Round Rock, TX",12420,1991-08-15,29,Good,Ozone,48-453-0014,3,1991
7067,"Austin-Round Rock, TX",12420,1991-08-16,35,Good,Ozone,48-453-0014,4,1991
7068,"Austin-Round Rock, TX",12420,1991-08-17,44,Good,Ozone,48-453-0014,3,1991
7069,"Austin-Round Rock, TX",12420,1991-08-18,42,Good,Ozone,48-453-0014,3,1991
7070,"Austin-Round Rock, TX",12420,1991-08-19,100,Moderate,Ozone,48-453-0014,2,1991
7071,"Austin-Round Rock, TX",12420,1991-08-20,136,Unhealthy for Sensitive Groups,Ozone,48-453-0014,3,1991
7072,"Austin-Round Rock, TX",12420,1991-08-21,87,Moderate,Ozone,48-453-0003,3,1991
7073,"Austin-Round Rock, TX",12420,1991-08-22,34,Good,Ozone,48-453-0014,4,1991
7074,"Austin-Round Rock, TX",12420,1991-08-23,84,Moderate,Ozone,48-453-0014,3,1991
7075,"Austin-Round Rock, TX",12420,1991-08-24,126,Unhealthy for Sensitive Groups,Ozone,48-453-0014,3,1991
7076,"Austin-Round Rock, TX",12420,1991-08-25,133,Unhealthy for Sensitive Groups,Ozone,48-453-0014,3,1991
7077,"Austin-Round Rock, TX",12420,1991-08-26,166,Unhealthy,Ozone,48-453-0014,3,1991
7078,"Austin-Round Rock, TX",12420,1991-08-27,101,Unhealthy for Sensitive Groups,Ozone,48-453-0014,3,1991
7079,"Austin-Round Rock, TX",12420,1991-08-28,35,Good,Ozone,48-453-0014,4,1991
7080,"Austin-Round Rock, TX",12420,1991-08-29,29,Good,Ozone,48-453-0014,3,1991
7081,"Austin-Round Rock, TX",12420,1991-08-30,28,Good,NO2,48-453-0017,3,1991
7082,"Austin-Round Rock, TX",12420,1991-08-31,49,Good,Ozone,48-453-0014,3,1991
7083,"Austin-Round Rock, TX",12420,1991-09-01,67,Moderate,Ozone,48-453-0014,3,1991
7084,"Austin-Round Rock, TX",12420,1991-09-02,32,Good,Ozone,48-453-0014,3,1991
7085,"Austin-Round Rock, TX",12420,1991-09-03,28,Good,NO2,48-453-0017,4,1991
7086,"Austin-Round Rock, TX",12420,1991-09-04,35,Good,Ozone,48-453-0014,3,1991
7087,"Austin-Round Rock, TX",12420,1991-09-05,30,Good,Ozone,48-453-0014,3,1991
7088,"Austin-Round Rock, TX",12420,1991-09-06,28,Good,Ozone,48-453-0017,3,1991
7089,"Austin-Round Rock, TX",12420,1991-09-07,19,Good,Ozone,48-453-0014,3,1991
7090,"Austin-Round Rock, TX",12420,1991-09-08,24,Good,Ozone,48-453-0014,3,1991
7091,"Austin-Round Rock, TX",12420,1991-09-09,35,Good,PM10,48-453-0016,5,1991
7092,"Austin-Round Rock, TX",12420,1991-09-10,54,Moderate,Ozone,48-453-0014,3,1991
7093,"Austin-Round Rock, TX",12420,1991-09-11,67,Moderate,Ozone,48-453-0014,3,1991
7094,"Austin-Round Rock, TX",12420,1991-09-12,33,Good,Ozone,48-453-0014,3,1991
7095,"Austin-Round Rock, TX",12420,1991-09-13,19,Good,Ozone,48-453-0017,3,1991
7096,"Austin-Round Rock, TX",12420,1991-09-14,19,Good,Ozone,48-453-0014,3,1991
7097,"Austin-Round Rock, TX",12420,1991-09-15,28,Good,Ozone,48-453-0014,5,1991
7098,"Austin-Round Rock, TX",12420,1991-09-16,30,Good,Ozone,48-453-0014,3,1991
7099,"Austin-Round Rock, TX",12420,1991-09-17,38,Good,Ozone,48-453-0014,3,1991
7100,"Austin-Round Rock, TX",12420,1991-09-18,43,Good,Ozone,48-453-0014,3,1991
7101,"Austin-Round Rock, TX",12420,1991-09-19,19,Good,Ozone,48-453-0017,3,1991
7102,"Austin-Round Rock, TX",12420,1991-09-20,28,Good,Ozone,48-453-0017,3,1991
