CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-01,49,Good,NO2,13-121-0048,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-02,31,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-03,55,Moderate,SO2,13-015-0002,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-04,116,Unhealthy for Sensitive Groups,SO2,13-015-0002,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-05,67,Moderate,Ozone,13-085-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-06,77,Moderate,Ozone,13-085-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-07,51,Moderate,NO2,13-121-0048,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-08,34,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-09,41,Good,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-10,85,Moderate,SO2,13-121-0048,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-11,80,Moderate,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-12,53,Moderate,PM10,13-121-0039,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-13,87,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-14,49,Good,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-15,41,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-16,37,Good,NO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-17,51,Moderate,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-18,54,Moderate,NO2,13-121-0048,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-19,77,Moderate,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-20,97,Moderate,SO2,13-015-0002,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-21,128,Unhealthy for Sensitive Groups,SO2,13-015-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-22,97,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-23,119,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-24,100,Moderate,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-25,193,Unhealthy,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-26,81,Moderate,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-27,74,Moderate,NO2,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-28,80,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-29,44,Good,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-30,33,Good,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-03-31,61,Moderate,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-01,53,Moderate,CO,13-089-1002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-02,47,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-03,39,Good,NO2,13-121-0048,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-04,72,Moderate,SO2,13-121-0048,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-05,112,Unhealthy for Sensitive Groups,Ozone,13-247-0001,12
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-06,64,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-07,77,Moderate,SO2,13-015-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-08,58,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-09,97,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-10,40,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-11,56,Moderate,SO2,13-121-0048,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-12,51,Moderate,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-13,74,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-14,87,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-15,110,Unhealthy for Sensitive Groups,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-16,117,Unhealthy for Sensitive Groups,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-17,87,Moderate,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-18,54,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-19,58,Moderate,Ozone,13-085-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-20,48,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-21,60,Moderate,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-22,116,Unhealthy for Sensitive Groups,SO2,13-015-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-23,90,Moderate,Ozone,13-223-0002,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-24,105,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-25,136,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-26,140,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
