CBSA,Year,AQI
"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,93.16993464052288
"Nashville-Davidson--Murfreesboro--Franklin, TN",2008,72.20979020979021
"Nashville-Davidson--Murfreesboro--Franklin, TN",2009,56.12396694214876
"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,71.08928571428571
"Nashville-Davidson--Murfreesboro--Franklin, TN",2011,67.10344827586206
"Nashville-Davidson--Murfreesboro--Franklin, TN",2012,69.73529411764706
"Nashville-Davidson--Murfreesboro--Franklin, TN",2013,49.666666666666664
"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,53.903225806451616
"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,51.92372881355932
"Nashville-Davidson--Murfreesboro--Franklin, TN",2016,53.3312101910828
"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,49.213235294117645
