CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-31,122,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-01,47,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-02,44,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-05,204,Very Unhealthy,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-06,161,Unhealthy,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-07,143,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-08,140,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-09,136,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-10,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-11,202,Very Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-12,172,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-13,169,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-14,182,Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-15,74,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-16,126,Unhealthy for Sensitive Groups,Ozone,13-097-0002,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-17,154,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-18,217,Very Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-19,172,Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-20,219,Very Unhealthy,Ozone,13-089-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-21,209,Very Unhealthy,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-22,90,Moderate,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-24,101,Unhealthy for Sensitive Groups,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-25,136,Unhealthy for Sensitive Groups,Ozone,13-097-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-26,166,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-27,147,Unhealthy for Sensitive Groups,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-28,200,Unhealthy,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-29,204,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-30,161,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-01,169,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-02,164,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-03,185,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-04,154,Unhealthy,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-05,129,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-06,185,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-07,200,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-08,208,Very Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-09,215,Very Unhealthy,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-10,182,Unhealthy,Ozone,13-247-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-11,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-13,37,Good,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-15,97,Moderate,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-16,161,Unhealthy,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-17,136,Unhealthy for Sensitive Groups,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-18,71,Moderate,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-19,23,Good,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-22,49,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-24,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-25,93,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-26,154,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-27,159,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-28,51,Moderate,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-29,105,Unhealthy for Sensitive Groups,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-30,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-31,177,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-02,77,Moderate,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-03,179,Unhealthy,Ozone,13-089-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-04,204,Very Unhealthy,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-05,93,Moderate,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-07,119,Unhealthy for Sensitive Groups,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-08,61,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-09,133,Unhealthy for Sensitive Groups,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-10,126,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-11,179,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-12,100,Moderate,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-13,119,Unhealthy for Sensitive Groups,Ozone,13-085-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-14,172,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-15,217,Very Unhealthy,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-16,201,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-17,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-18,174,Unhealthy,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-19,177,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-20,182,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-21,169,Unhealthy,Ozone,13-089-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-22,97,Moderate,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-23,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-24,150,Unhealthy for Sensitive Groups,Ozone,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-25,169,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-26,154,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-27,192,Unhealthy,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-28,244,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-29,203,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-30,105,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-31,54,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-01,90,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-02,112,Unhealthy for Sensitive Groups,Ozone,13-097-0002,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-03,122,Unhealthy for Sensitive Groups,Ozone,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-04,185,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-05,202,Very Unhealthy,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-06,224,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-07,220,Very Unhealthy,Ozone,13-247-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-08,202,Very Unhealthy,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-09,108,Unhealthy for Sensitive Groups,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-10,143,Unhealthy for Sensitive Groups,Ozone,13-089-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-11,151,Unhealthy,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-12,112,Unhealthy for Sensitive Groups,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-13,74,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-17,115,Unhealthy for Sensitive Groups,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-18,97,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-19,140,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-20,150,Unhealthy for Sensitive Groups,Ozone,13-247-0001,14
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-21,147,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-23,43,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-25,84,Moderate,Ozone,13-097-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-27,147,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-28,90,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-29,147,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-03,58,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-05,61,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-06,108,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-07,44,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-09,39,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-16,115,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-17,87,Moderate,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-20,50,Good,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-10-21,47,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-01,71,Moderate,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-02,101,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-03,61,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-04,47,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-08,31,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-09,26,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-22,71,Moderate,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-11-23,40,Good,Ozone,13-223-0002,11
"Austin-Round Rock, TX",12420,1990-01-03,26,Good,Ozone,48-453-0014,2
"Austin-Round Rock, TX",12420,1990-01-07,37,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-01-14,29,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-01-16,25,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-01-19,19,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-01-21,42,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-01-26,37,Good,Ozone,48-453-0003,2
"Austin-Round Rock, TX",12420,1990-01-27,37,Good,Ozone,48-453-0003,2
"Austin-Round Rock, TX",12420,1990-01-28,19,Good,Ozone,48-453-0003,2
"Austin-Round Rock, TX",12420,1990-01-29,32,Good,Ozone,48-453-0003,4
"Austin-Round Rock, TX",12420,1990-02-05,40,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-07,49,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-08,35,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-11,43,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-12,42,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-14,26,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-16,43,Good,Ozone,48-453-0003,5
"Austin-Round Rock, TX",12420,1990-02-20,28,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-02-21,33,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-02-25,39,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-02-27,31,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-02-28,28,Good,Ozone,48-453-0017,5
"Austin-Round Rock, TX",12420,1990-03-04,47,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-05,43,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-03-06,40,Good,Ozone,48-453-0003,5
"Austin-Round Rock, TX",12420,1990-03-10,23,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-11,19,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-03-12,24,Good,Ozone,48-453-0003,5
"Austin-Round Rock, TX",12420,1990-03-13,21,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-03-14,38,Good,Ozone,48-453-0014,2
"Austin-Round Rock, TX",12420,1990-03-15,40,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-16,48,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-17,58,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-18,67,Moderate,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-03-19,46,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-21,58,Moderate,Ozone,48-453-0014,3
