,CBSA,Year,Defining Parameter,AQI
374,"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,SO2,74.9381443298969
375,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,CO,45.69230769230769
376,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,NO2,65.38095238095238
377,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,Ozone,111.61748633879782
378,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,PM10,48.5
379,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,PM2.5,69.11111111111111
380,"Nashville-Davidson--Murfreesboro--Franklin, TN",1999,SO2,93.93846153846154
381,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,CO,38.0
382,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,NO2,28.0
383,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,Ozone,102.98518518518519
384,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,PM2.5,61.475903614457835
385,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,SO2,89.58333333333333
386,"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,CO,47.666666666666664
387,"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,NO2,30.0
388,"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,Ozone,84.62595419847328
389,"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,PM2.5,59.193548387096776
390,"Nashville-Davidson--Murfreesboro--Franklin, TN",2001,SO2,80.36585365853658
391,"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,CO,50.5
392,"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,NO2,67.5
393,"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,Ozone,91.61068702290076
394,"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,PM2.5,53.92462311557789
395,"Nashville-Davidson--Murfreesboro--Franklin, TN",2002,SO2,64.24
396,"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,CO,35.0
397,"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,NO2,51.0
398,"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,Ozone,85.39837398373983
399,"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,PM2.5,55.255319148936174
400,"Nashville-Davidson--Murfreesboro--Franklin, TN",2003,SO2,52.0
401,"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,CO,27.0
402,"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,NO2,27.166666666666668
403,"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,Ozone,67.37209302325581
404,"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,PM2.5,55.873303167420815
405,"Nashville-Davidson--Murfreesboro--Franklin, TN",2004,SO2,63.333333333333336
406,"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,CO,16.0
407,"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,NO2,38.666666666666664
408,"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,Ozone,88.13934426229508
409,"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,PM2.5,60.22127659574468
410,"Nashville-Davidson--Murfreesboro--Franklin, TN",2005,SO2,65.0
411,"Nashville-Davidson--Murfreesboro--Franklin, TN",2006,NO2,34.833333333333336
412,"Nashville-Davidson--Murfreesboro--Franklin, TN",2006,Ozone,84.921875
413,"Nashville-Davidson--Murfreesboro--Franklin, TN",2006,PM2.5,56.782222222222224
414,"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,NO2,34.38461538461539
415,"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,Ozone,93.16993464052288
416,"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,PM2.5,54.78238341968912
417,"Nashville-Davidson--Murfreesboro--Franklin, TN",2007,SO2,67.83333333333333
418,"Nashville-Davidson--Murfreesboro--Franklin, TN",2008,NO2,30.166666666666668
419,"Nashville-Davidson--Murfreesboro--Franklin, TN",2008,Ozone,72.20979020979021
420,"Nashville-Davidson--Murfreesboro--Franklin, TN",2008,PM2.5,50.55450236966825
421,"Nashville-Davidson--Murfreesboro--Franklin, TN",2009,NO2,31.076923076923077
422,"Nashville-Davidson--Murfreesboro--Franklin, TN",2009,Ozone,56.12396694214876
423,"Nashville-Davidson--Murfreesboro--Franklin, TN",2009,PM2.5,47.56277056277056
424,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,NO2,33.44444444444444
425,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,Ozone,71.08928571428571
426,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,PM2.5,47.78191489361702
427,"Nashville-Davidson--Murfreesboro--Franklin, TN",2011,NO2,31.307692307692307
428,"Nashville-Davidson--Murfreesboro--Franklin, TN",2011,Ozone,67.10344827586206
429,"Nashville-Davidson--Murfreesboro--Franklin, TN",2011,PM2.5,45.442424242424245
430,"Nashville-Davidson--Murfreesboro--Franklin, TN",2012,NO2,33.125
431,"Nashville-Davidson--Murfreesboro--Franklin, TN",2012,Ozone,69.73529411764706
432,"Nashville-Davidson--Murfreesboro--Franklin, TN",2012,PM2.5,44.723404255319146
433,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013,NO2,25.0
434,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013,Ozone,49.666666666666664
435,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013,PM2.5,46.032710280373834
436,"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,NO2,32.80952380952381
437,"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,Ozone,53.903225806451616
438,"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,PM2.5,47.62100456621005
439,"Nashville-Davidson--Murfreesboro--Franklin, TN",2014,SO2,119.0
440,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,NO2,38.189189189189186
441,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,Ozone,51.92372881355932
442,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,PM2.5,46.55238095238095
443,"Nashville-Davidson--Murfreesboro--Franklin, TN",2016,NO2,36.78048780487805
444,"Nashville-Davidson--Murfreesboro--Franklin, TN",2016,Ozone,53.3312101910828
445,"Nashville-Davidson--Murfreesboro--Franklin, TN",2016,PM2.5,45.773809523809526
446,"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,NO2,38.44444444444444
447,"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,Ozone,49.213235294117645
448,"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,PM2.5,45.91387559808612
449,"Nashville-Davidson--Murfreesboro--Franklin, TN",2017,SO2,60.0
